Using device: cuda
Round 1 | Test Accuracy: 0.1896
Round 2 | Test Accuracy: 0.1896
Round 3 | Test Accuracy: 0.1896
Round 4 | Test Accuracy: 0.1896
Round 5 | Test Accuracy: 0.1896
Round 6 | Test Accuracy: 0.1898
Round 7 | Test Accuracy: 0.2193
Round 8 | Test Accuracy: 0.1963
Round 9 | Test Accuracy: 0.2261
Round 10 | Test Accuracy: 0.2049
Round 11 | Test Accuracy: 0.2236
Round 12 | Test Accuracy: 0.2202
Round 13 | Test Accuracy: 0.2187
Round 14 | Test Accuracy: 0.2193
Round 15 | Test Accuracy: 0.2150
Round 16 | Test Accuracy: 0.2118
Round 17 | Test Accuracy: 0.2175
Round 18 | Test Accuracy: 0.2183
Round 19 | Test Accuracy: 0.2120
Round 20 | Test Accuracy: 0.2068
Round 21 | Test Accuracy: 0.2068
Round 22 | Test Accuracy: 0.2068
Round 23 | Test Accuracy: 0.2055
Round 24 | Test Accuracy: 0.2047
Round 25 | Test Accuracy: 0.2135
Round 26 | Test Accuracy: 0.2240
Round 27 | Test Accuracy: 0.2206
Round 28 | Test Accuracy: 0.2256
Round 29 | Test Accuracy: 0.2233
Round 30 | Test Accuracy: 0.2221
Round 31 | Test Accuracy: 0.2233
Round 32 | Test Accuracy: 0.2324
Round 33 | Test Accuracy: 0.2236
Round 34 | Test Accuracy: 0.2387
Round 35 | Test Accuracy: 0.2320
Round 36 | Test Accuracy: 0.2345
Round 37 | Test Accuracy: 0.2387
Round 38 | Test Accuracy: 0.2426
Round 39 | Test Accuracy: 0.2357
Round 40 | Test Accuracy: 0.2496
Round 41 | Test Accuracy: 0.2374
Round 42 | Test Accuracy: 0.2431
Round 43 | Test Accuracy: 0.2473
Round 44 | Test Accuracy: 0.2485
Round 45 | Test Accuracy: 0.2412
Round 46 | Test Accuracy: 0.2508
Round 47 | Test Accuracy: 0.2479
Round 48 | Test Accuracy: 0.2477
Round 49 | Test Accuracy: 0.2515
Round 50 | Test Accuracy: 0.2504
Round 51 | Test Accuracy: 0.2504
Round 52 | Test Accuracy: 0.2513
Round 53 | Test Accuracy: 0.2479
Round 54 | Test Accuracy: 0.2529
Round 55 | Test Accuracy: 0.2494
Round 56 | Test Accuracy: 0.2527
Round 57 | Test Accuracy: 0.2586
Round 58 | Test Accuracy: 0.2576
Round 59 | Test Accuracy: 0.2529
Round 60 | Test Accuracy: 0.2645
Round 61 | Test Accuracy: 0.2569
Round 62 | Test Accuracy: 0.2605
Round 63 | Test Accuracy: 0.2680
Round 64 | Test Accuracy: 0.2662
Round 65 | Test Accuracy: 0.2622
Round 66 | Test Accuracy: 0.2710
Round 67 | Test Accuracy: 0.2714
Round 68 | Test Accuracy: 0.2674
Round 69 | Test Accuracy: 0.2687
Round 70 | Test Accuracy: 0.2691
Round 71 | Test Accuracy: 0.2727
Round 72 | Test Accuracy: 0.2712
Round 73 | Test Accuracy: 0.2699
Round 74 | Test Accuracy: 0.2743
Round 75 | Test Accuracy: 0.2786
Round 76 | Test Accuracy: 0.2760
Round 77 | Test Accuracy: 0.2809
Round 78 | Test Accuracy: 0.2741
Round 79 | Test Accuracy: 0.2807
Round 80 | Test Accuracy: 0.2840
Round 81 | Test Accuracy: 0.2804
Round 82 | Test Accuracy: 0.2840
Round 83 | Test Accuracy: 0.2827
Round 84 | Test Accuracy: 0.2802
Round 85 | Test Accuracy: 0.2815
Round 86 | Test Accuracy: 0.2817
Round 87 | Test Accuracy: 0.2807
Round 88 | Test Accuracy: 0.2840
Round 89 | Test Accuracy: 0.2874
Round 90 | Test Accuracy: 0.2798
Round 91 | Test Accuracy: 0.2846
Round 92 | Test Accuracy: 0.2859
Round 93 | Test Accuracy: 0.2874
Round 94 | Test Accuracy: 0.2850
Round 95 | Test Accuracy: 0.2853
Round 96 | Test Accuracy: 0.2834
Round 97 | Test Accuracy: 0.2874
Round 98 | Test Accuracy: 0.2850
Round 99 | Test Accuracy: 0.2880
Round 100 | Test Accuracy: 0.2876
Round 101 | Test Accuracy: 0.2859
Round 102 | Test Accuracy: 0.2872
Round 103 | Test Accuracy: 0.2865
Round 104 | Test Accuracy: 0.2911
Round 105 | Test Accuracy: 0.2907
Round 106 | Test Accuracy: 0.2878
Round 107 | Test Accuracy: 0.2907
Round 108 | Test Accuracy: 0.2909
Round 109 | Test Accuracy: 0.2880
